,r1,r3,r2,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,outputK,r14,r15,r16,InputA,InputI,OutputX,OutputN,id,growth,optimal
0,0.0,0.1,-0.09999999999999994,-0.19999999999999987,1.2000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,-6.938893903907228e-17,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,1.0,1.0,3.0000000000000018,1.0,r1,3.0000000000000018,0
1,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r3,9.0,1
2,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r2,9.0,1
3,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r4,9.0,1
4,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r5,9.0,0
5,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r6,9.0,0
6,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r7,9.0,0
7,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r8,9.0,0
8,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r9,9.0,0
9,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r10,9.0,1
10,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r11,9.0,0
11,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r12,9.0,0
12,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r13,9.0,0
13,1.0,0.1,1.2333333333333334,2.466666666666667,1.2000000000000002,3.666666666666667,3.6666666666666674,4.0,0.9999999999999997,-0.3333333333333335,0.6666666666666662,0.9999999999999996,0.9999999999999996,0.0,-0.33333333333333337,-0.33333333333333215,1.9999999999999996,1.0,1.0,11.000000000000002,1.0,outputK,11.000000000000002,0
