,Relationship,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,EDescription_trg,Form_trg,Free_of_trg,GDescription_trg,Material_trg,Specifications_trg,Title_trg,full_community_id_trg,name_trg
0,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,['No piece to measure more than 12� over any one part or weigh over 100 lbs.'],,"['Valves', ' including miscellaneous castings', ' machinery bearings and other machinery parts']","[' and manganese bronzes; iron and non-metallics.', 'semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum', ' silicon']",,['Red Brass'],"[' zinc', 'Made of copper', ' tin', ' and/or lead']",['Composition or Red Brass'],['13'],['Ebony']
1,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Scrap borings and turnings'],,,['Brass'],"[' and zinc. Turnings shall be unmixed and have less than 0.2% alloyed lead or as agreed between buyer and seller. Examples that meet this specification include', ' bismuth', ' but are not limited to', 'Alloyed with copper', ' CDA 89833/35/36/37/41/42 and 45.', ' tin']",['Lead-Free Bismuth Brass Turnings'],['15'],['Ecstatic']
2,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,['no piece to measure more than 12 inches over any one part'],,['Castings in crucible shape '],"['brass forgings', ' silicon bronze', ' aluminum bronze and manganese bronze']",,,['not to contain more than 15% nickel plated material'],['Yellow Brass Castings'],['26'],['Ivory']
3,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Rod ends and forgings'],,,['Leaded Brass'],"[' zinc and lead. Turnings shall be unmixed and have less than 0.01% alloyed bismuth and silicon each', 'Alloyed with copper']",['Leaded Brass Scrap Rod Ends and Forgings'],['41'],['Niche']
4,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Red car boxes (clean journals)'],['Yellow boxes and iron-backed boxes'],,,['Standard unlined and/or sweated railroad boxes and unlined and/or sweated car journal bearings'],['Unlined Standard Red Car Boxes (Clean Journals)'],['22'],['Fence']
5,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Pipe '],['Plated and soldered materials or pipes with cast brass connections'],,['Brass'],"[' clean pipes free of sediment and condenser tubes', 'To be sound']",['Brass Pipe'],['37'],['Melon']
6,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Radiators'],"['Aluminum radiators', ' and iron-finned radiators']",,,"[' unless otherwise specified', 'Mixed automobile radiators. All radiators to be subject to deduction of actual iron. The tonnage specification should cover the gross weight of the radiators']",['Mixed Unsweated Auto Radiators'],['45'],['Ocean']
7,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Solids and turnings and alloyed and contaminated copper scrap'],"[' grindings', ' electrotype shells and non-metallics', 'Insulated wire']",,['Brass'],['a minimum of 61.3% copper and maximum 5% iron'],['Refinery Brass'],['9'],['Drink']
8,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Wire '],,,['Copper '],"['with various types of insulation. To be sold on a sample or recovery basis', ' subject to agreement between buyer and seller. Existence of jelly wire subject to agreement between buyer and seller.']",['Insulated Copper Wire Scrap'],['10'],['Droid']
9,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,['Wire gauge subject to agreement between buyer and seller'],,['Wire and Cable '],"[' Copper Tubing ', 'Brittle Burnt Wire']",,['Copper '],"[' Unalloyed', ' Untinned', ' Uncoated', 'Clean']",['No. 1 Copper Wire'],['1'],['Barley']
10,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Fired 70/30 shell cases'],['primers and any other foreign material'],,['Brass'],"['Clean. For material to be exported from the United States', ' all shells must be sufficiently mutilated to prevent reuse and reloading']",['Brass Shell Cases Without Primers'],['28'],['Lace']
